geoid,state,county,oztoolclassification,likelyrural,pop_2024,median_hhincome_2024,povrate_2024,unemprate_2024,jobs_2022,median_homevalue_2024,median_grossrent_2024,pct_own_2024,pct_severerentburden_2024,vacancyrate_2024,pct_age1824_2024,pct_white_2024,pct_black_2024,pct_latino_2024,pct_aapi_2024,pct_ba_2024,cbsa_type,classification,total_parcels,land_to_value_ratio,vacancy_proxy,market_activity_count,median_sale_price,owner_occupancy_rate,pct_residential,pct_commercial,pct_industrial,assessed_value_per_parcel,permits_total,permits_new_construction,permits_residential,permits_commercial,permit_trend,has_any_permits,stackability_count,has_stackability,stage1_result,job_density_score,dev_capacity_score,market_momentum_score,poverty_score,income_score,unemployment_score,stackability_score,composite_score,rank,recommended
24510150900,Maryland,Baltimore city,Likely to attract capital even without OZ designation,0,3820.0,,0.43769634,0.25078863,68.0,236800.0,,0.58708709,0.77454543,0.18681319,0.0094240839,0.039528795,0.78848165,0.15575916,0.0,0.1823656,Metro,Already Attractive,1399.0,0.0101175318671397,0.1515368120085775,333.0,110000.0,0.0,0.9285203716940672,0.0042887776983559,0.0,13766.333095067906,1313.0,0.0,310.0,6.0,0.5356725146198831,1,1,1,Advances to Scoring,0.0028328611898017,0.10428397291749777,0.5262276789112492,0.43679878571428576,,0.7257253610929503,0.3333333333333333,,356.0,0
24005492500,Maryland,Baltimore County,Likely to attract capital even without OZ designation,0,3491.0,,0.46808511,0.041345093,4006.0,,,1.0,,0.0,0.41506732,0.40991119,0.34574622,0.090232022,0.099684902,0.29761904,Metro,Already Attractive,,,,,,,,,,,,,,,,0,1,1,Advances to Scoring,0.18876298394711993,0.06880408228527743,0.7166438256167657,0.1641337321428572,,0.11964331296377594,0.3333333333333333,,356.0,0
24003740205,Maryland,Anne Arundel County,Less likely to attract OZ investment,0,3285.0,87404.0,0.22686084,0.036858007,1607.0,372100.0,1659.0,0.66936135,0.30073351,0.080297396,0.028310502,0.42496195,0.13394216,0.34185693,0.026788432,0.2868526,Metro,Less Likely,,,,,,,,,,,,,,,,0,1,1,Eliminated — Already Attractive,,,,,,,,,,0
24003751103,Maryland,Anne Arundel County,Less likely to attract OZ investment,0,5690.0,71875.0,0.080878213,0.011258956,407.0,375100.0,1584.0,0.69804919,0.38764045,0.019134775,0.067135327,0.65869945,0.20369069,0.03831283,0.026010545,0.20075758,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
24005490303,Maryland,Baltimore County,Less likely to attract OZ investment,0,2563.0,75392.0,0.27719823,0.054730982,2766.0,376200.0,1675.0,0.2076412,0.2620545,0.14971751,0.093250096,0.54038239,0.32696059,0.034724932,0.024190402,0.4133054,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
24017850802,Maryland,Charles County,"More likely to attract OZ investment, with larger impact",0,5818.0,86425.0,0.11627907,0.036453202,3585.0,406200.0,1782.0,0.74265325,0.17944536,0.0099750627,0.044517018,0.23547611,0.5080784,0.090237193,0.051564112,0.22698413,Metro,Goldilocks,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
24017851200,Maryland,Charles County,Less likely to attract OZ investment,1,4748.0,104038.0,0.062855937,0.0046339203,493.0,441500.0,1216.0,0.78227574,0.29396984,0.20659722,0.019587195,0.69481885,0.12257793,0.090564445,0.010530749,0.20217641,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
24021750508,Maryland,Frederick County,Less likely to attract OZ investment,0,5163.0,72111.0,0.16173609,0.044887781,469.0,421500.0,1749.0,0.23499492,0.22273937,0.013052209,0.036993995,0.2147976,0.30931628,0.38078636,0.050358318,0.26986301,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
24021750801,Maryland,Frederick County,"More likely to attract OZ investment, with larger impact",0,3259.0,68438.0,0.081329115,0.033949077,3368.0,427000.0,1669.0,0.26353592,0.24606152,0.075587332,0.032832157,0.64191473,0.10647438,0.044492174,0.027002148,0.42431372,Metro,Goldilocks,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
24021751001,Maryland,Frederick County,Likely to attract capital even without OZ designation,0,2300.0,90465.0,0.14117132,0.050724637,7.0,448800.0,1735.0,0.64988291,0.30100334,0.0,0.019565217,0.38043478,0.24391304,0.18565217,0.13956521,0.44089013,Metro,Already Attractive,,,,,,,,,,,,,,,,0,0,0,Eliminated — Already Attractive,,,,,,,,,,0
